Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96136,0,1.81752,0.00102029,0.0727684,0,0.111504,5.43667e-06,0.115915,0,1.23285,0.00101325,0.0183225,0,0.0876581,5.34717e-06,, , 0.0678126,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00101325,0.000987789,0.0134898,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,5.34717e-06,0.0585562
2,15.1251,15.1826,11.3421,0.0109611,0.500703,0.504437,3.47523,0.000451769,3.68436,3.74187,9.6156,0.0106476,0.174877,0.178611,2.60678,2.77739e-05,, , 0.53361,6.59864,0.293982,15.1163,9.97854,9.6156,0.0106476,0.0155217,0.205382,0.129148,0.0189588,0.00853657,0.640836,2.60678,2.77739e-05,0.920125
3,4.20578,4.23088,7.27564,0.0218251,0.174118,0.175559,2.86639,0.00141432,0.891592,0.916697,6.41747,0.0211981,0.0704756,0.0719165,1.13685,0.000174944,, , 0.230485,1.44982,0.127988,5.23262,3.22804,6.41747,0.0211981,0.0293457,0.0923259,0.0417726,0.00829357,0.00755516,0.204585,1.13685,0.000174944,1.73961
4,6.18213,6.23881,7.76661,0.0411908,0.280393,0.284287,5.58613,0.000750084,1.10814,1.16481,6.41579,0.0399367,0.137883,0.141777,2.12812,0.000180134,, , 0.475217,1.54823,0.249511,8.74862,4.6985,6.41579,0.0399367,0.0584488,0.187124,0.0761984,0.0163372,0.0118465,0.284231,2.12812,0.000180134,3.46485
5,1.53253,1.55338,7.03742,0.0836968,0.0881211,0.0895068,7.67425,0.00129626,0.276825,0.297681,5.5016,0.0811885,0.0485652,0.0499508,0.760411,0.000618582,, , 0.175748,0.307138,0.0916197,6.2831,1.66101,5.5016,0.0811885,0.116473,0.0684844,0.024022,0.0060096,0.017688,0.0855392,0.760411,0.000618582,6.90454
6,2.44689,2.49092,8.43942,0.163052,0.151263,0.154425,15.3127,0.000831058,0.450159,0.494187,5.50205,0.158035,0.0972539,0.100416,1.4853,0.000712869,, , 0.353827,0.409594,0.180924,11.9572,2.76803,5.50205,0.158035,0.232886,0.138968,0.0467762,0.0119253,0.0313899,0.125166,1.4853,0.000712869,13.8055
7,0.470128,0.47127,9.57548,0.341597,0.0297528,0.0300887,49.3609,0.000269575,0.38589,0.387032,0.0129857,0.324511,0.0164271,0.016763,0.198186,5.2351e-05,, , 0.0101397,0.757676,0.00510665,12.0326,0.287717,0.0129857,0.324511,0.827824,0.0136823,0.0183357,0.00117207,0.107445,0.0520212,0.198186,5.2351e-05,49.0734
8,0.028618,0.0287545,0.0180732,0.000860775,0.000539327,0.000545304,0.0602488,3.59317e-07,0.001982,0.0021185,0.00210237,0.00083992,8.74742e-05,9.34506e-05,0.000229628,9.415e-08,, , 0.00126678,0.00218914,0.000644581,0.0803593,0.0212412,0.00210237,0.00083992,0.00101147,7.3686e-05,8.89254e-05,1.83133e-05,0.000321226,0.00074128,0.000229628,9.415e-08,0.0599602
Total,37.9525,30.1966,53.2723,0.664204,1.29766,1.23885,84.4474,0.00501887,6.91486,7.0044,34.7005,0.63737,0.563892,0.559527,8.40354,0.0017721,, , 1.84811,11.0806,0.990543,66.3248,24.21,34.7005,0.63737,1.2825,0.71953,0.339823,0.0640661,0.186405,1.4432,8.40354,0.0017721,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11965,0.00819097,1.51059,19.3542,0.0203016,3.74406
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.9614,0,1.81752,0.00102654,0.0727758,0,0.111504,6.11357e-06,0.115951,0,1.23285,0.0010195,0.0183299,0,0.0876581,6.02407e-06,, , 0.0678487,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134972,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.02407e-06,0.0585562
2,15.1249,15.1824,11.342,0.0108804,0.501122,0.504929,3.47522,0.000765631,3.68419,3.74169,9.61545,0.0105669,0.175296,0.179103,2.60677,4.73903e-05,, , 0.533265,6.59864,0.293982,15.1163,9.97854,9.61545,0.0105669,0.0155217,0.206308,0.129148,0.0189435,0.00853657,0.640836,2.60677,4.73903e-05,0.920125
3,4.20574,4.23085,7.27569,0.0215701,0.174128,0.175555,2.86639,0.00130073,0.891555,0.91666,6.41752,0.020943,0.070485,0.0719126,1.13686,0.000160745,, , 0.230411,1.44982,0.127988,5.23262,3.22804,6.41752,0.020943,0.0293457,0.0923287,0.0417726,0.00829631,0.00755516,0.204585,1.13686,0.000160745,1.73961
4,6.18191,6.23858,7.76627,0.0424056,0.280054,0.284118,5.56198,0.00117274,1.10791,1.16459,6.41545,0.0411515,0.137544,0.141608,2.10396,0.000285799,, , 0.474765,1.54823,0.249511,8.74862,4.6985,6.41545,0.0411515,0.0584488,0.186651,0.0761984,0.016302,0.0118465,0.284231,2.10396,0.000285799,3.46485
