Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96137,0,1.81752,0.00102029,0.0727694,0,0.111504,7.46718e-06,0.115919,0,1.23285,0.00101325,0.0183235,0,0.0876581,7.37769e-06,, , 0.0678163,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00101325,0.000987789,0.0134908,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,7.37769e-06,0.0585562
2,15.1236,15.1811,11.3421,0.0100385,0.501857,0.50562,3.47522,0.00035258,3.6829,3.74041,9.61554,0.00972501,0.176031,0.179794,2.60678,2.15745e-05,, , 0.530697,6.59864,0.293982,15.1163,9.97854,9.61554,0.00972501,0.0155217,0.207725,0.129148,0.0189526,0.00853657,0.640836,2.60678,2.15745e-05,0.920125
3,4.20656,4.23166,7.27464,0.0201276,0.1733,0.174988,2.83018,0.00075507,0.892372,0.917476,6.41647,0.0195005,0.0696574,0.0713453,1.10065,9.2537e-05,, , 0.232044,1.44982,0.127988,5.23262,3.22804,6.41647,0.0195005,0.0293457,0.0909876,0.0417726,0.00824249,0.00755516,0.204585,1.10065,9.2537e-05,1.73961
4,6.17883,6.2355,7.76713,0.0412559,0.276973,0.280611,5.63442,0.00113064,1.10484,1.16151,6.41631,0.0400018,0.134463,0.138101,2.17641,0.000275274,, , 0.468608,1.54823,0.249511,8.74862,4.6985,6.41631,0.0400018,0.0584488,0.179976,0.0761984,0.01639,0.0118465,0.284231,2.17641,0.000275274,3.46485
5,1.53004,1.5509,7.03808,0.0799206,0.0879417,0.089165,7.692,0.000856387,0.274338,0.295194,5.50226,0.0774123,0.0483858,0.049609,0.778163,0.000398646,, , 0.170774,0.307138,0.0916197,6.2831,1.66101,5.50226,0.0774123,0.116473,0.0679296,0.024022,0.00604319,0.017688,0.0855392,0.778163,0.000398646,6.90454
6,2.444,2.48803,8.44022,0.151286,0.150543,0.15331,15.3482,0.000421509,0.447275,0.491303,5.50285,0.146269,0.0965341,0.0993009,1.52083,0.00030332,, , 0.34806,0.409594,0.180924,11.9572,2.76803,5.50285,0.146269,0.232886,0.137052,0.0467762,0.012007,0.0313899,0.125166,1.52083,0.00030332,13.8055
7,0.470094,0.471236,9.57556,0.396739,0.0296698,0.0299874,49.3662,0.000330766,0.385857,0.386999,0.01306,0.379653,0.0163441,0.0166617,0.203443,0.000113541,, , 0.0100724,0.757676,0.00510665,12.0326,0.287717,0.01306,0.379653,0.827824,0.0134942,0.0183357,0.00117586,0.107445,0.0520212,0.203443,0.000113541,49.0734
8,0.0286203,0.0287568,0.0180222,0.000370493,0.00053909,0.000545264,0.0602445,3.10582e-07,0.00198431,0.00212081,0.0020513,0.000349638,8.72368e-05,9.34104e-05,0.000225339,4.54151e-08,, , 0.0012714,0.00218914,0.000644581,0.0803593,0.0212412,0.0020513,0.000349638,0.00101147,7.34493e-05,8.89254e-05,1.82725e-05,0.000321226,0.00074128,0.000225339,4.54151e-08,0.0599602
Total,37.9431,30.1872,53.2732,0.700758,1.29359,1.23423,84.518,0.00385473,6.90548,6.99501,34.7014,0.673924,0.559826,0.554906,8.47415,0.00121232,, , 1.82934,11.0806,0.990543,66.3248,24.21,34.7014,0.673924,1.2825,0.710728,0.339823,0.0641807,0.186405,1.4432,8.47415,0.00121232,76.0265

