Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96136,0,1.81752,0.00102654,0.0727674,0,0.111504,8.16659e-06,0.115908,0,1.23285,0.0010195,0.0183215,0,0.0876581,8.0771e-06,, , 0.0678056,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134888,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,8.0771e-06,0.0585562
2,15.1245,15.182,11.342,0.0105404,0.500617,0.5044,3.47522,0.000625502,3.68381,3.74132,9.6155,0.0102268,0.174791,0.178574,2.60677,3.86322e-05,, , 0.532508,6.59864,0.293982,15.1163,9.97854,9.6155,0.0102268,0.0155217,0.205269,0.129148,0.0189485,0.00853657,0.640836,2.60677,3.86322e-05,0.920125
3,4.206,4.23111,7.27526,0.0218023,0.17405,0.175585,2.85432,0.000973585,0.891817,0.916922,6.41709,0.0211753,0.0704079,0.0719426,1.12479,0.000119851,, , 0.230935,1.44982,0.127988,5.23262,3.22804,6.41709,0.0211753,0.0293457,0.0923037,0.0417726,0.00827418,0.00755516,0.204585,1.12479,0.000119851,1.73961
4,6.18312,6.23979,7.76663,0.0418076,0.279964,0.283849,5.58613,0.00111399,1.10913,1.1658,6.41581,0.0405535,0.137454,0.141339,2.12812,0.00027111,, , 0.477193,1.54823,0.249511,8.74862,4.6985,6.41581,0.0405535,0.0584488,0.186255,0.0761984,0.016339,0.0118465,0.284231,2.12812,0.00027111,3.46485
5,1.53247,1.55333,7.03736,0.0855905,0.0881046,0.0895048,7.67425,0.00102401,0.276769,0.297626,5.50154,0.0830822,0.0485486,0.0499488,0.76041,0.000482458,, , 0.175637,0.307138,0.0916197,6.2831,1.66101,5.50154,0.0830822,0.116473,0.0684688,0.024022,0.0060066,0.017688,0.0855392,0.76041,0.000482458,6.90454
6,2.44608,2.49011,8.43942,0.161524,0.1512,0.154365,15.3127,0.000653073,0.449355,0.493382,5.50204,0.156507,0.0971911,0.100357,1.4853,0.000534884,, , 0.352219,0.409594,0.180924,11.9572,2.76803,5.50204,0.156507,0.232886,0.138847,0.0467762,0.0119246,0.0313899,0.125166,1.4853,0.000534884,13.8055
7,0.470166,0.471308,9.57545,0.407023,0.0297371,0.0300819,49.3592,0.000316674,0.385928,0.38707,0.0129501,0.389937,0.0164114,0.0167561,0.196433,9.945e-05,, , 0.010215,0.757676,0.00510665,12.0326,0.287717,0.0129501,0.389937,0.827824,0.0136616,0.0183357,0.00117024,0.107445,0.0520212,0.196433,9.945e-05,49.0734
8,0.0286187,0.0287552,0.0180639,0.00105197,0.000539296,0.000545308,0.0602466,3.69915e-07,0.00198268,0.00211919,0.00209303,0.00103112,8.74426e-05,9.3455e-05,0.000227485,1.04749e-07,, , 0.00126816,0.00218914,0.000644581,0.0803593,0.0212412,0.00209303,0.00103112,0.00101147,7.36663e-05,8.89254e-05,1.83058e-05,0.000321226,0.00074128,0.000227485,1.04749e-07,0.0599602
Total,37.9523,30.1964,53.2717,0.730367,1.29698,1.23833,84.4335,0.00471537,6.9147,7.00424,34.6999,0.703533,0.563213,0.55901,8.38971,0.00155457,, , 1.84778,11.0806,0.990543,66.3248,24.21,34.6999,0.703533,1.2825,0.718367,0.339823,0.0640327,0.186405,1.4432,8.38971,0.00155457,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12002,0.0081866,1.50978,19.3853,0.0202748,3.7391
