Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96136,0,1.81752,0.00102654,0.072768,0,0.111504,7.12947e-06,0.115912,0,1.23285,0.0010195,0.0183221,0,0.0876581,7.03998e-06,, , 0.06781,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134894,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,7.03998e-06,0.0585562
2,15.1242,15.1818,11.3421,0.0107712,0.500104,0.503856,3.47523,0.000931251,3.68353,3.74103,9.61556,0.0104577,0.174279,0.178031,2.60678,5.77415e-05,, , 0.531942,6.59864,0.293982,15.1163,9.97854,9.61556,0.0104577,0.0155217,0.204207,0.129148,0.0189549,0.00853657,0.640836,2.60678,5.77415e-05,0.920125
3,4.20607,4.23117,7.27556,0.0214513,0.174077,0.175538,2.86638,0.000999165,0.891884,0.916989,6.41739,0.0208243,0.0704343,0.0718953,1.13685,0.000123049,, , 0.231068,1.44982,0.127988,5.23262,3.22804,6.41739,0.0208243,0.0293457,0.0922676,0.0417726,0.00828943,0.00755516,0.204585,1.13685,0.000123049,1.73961
4,6.18259,6.23926,7.76658,0.0402189,0.280027,0.283937,5.58613,0.000583418,1.10859,1.16527,6.41576,0.0389648,0.137517,0.141427,2.12812,0.000138468,, , 0.476125,1.54823,0.249511,8.74862,4.6985,6.41576,0.0389648,0.0584488,0.186411,0.0761984,0.0163338,0.0118465,0.284231,2.12812,0.000138468,3.46485
5,1.53161,1.55247,7.03736,0.0833332,0.0880857,0.0894875,7.67425,0.00102802,0.275907,0.296764,5.50154,0.0808249,0.0485297,0.0499315,0.76041,0.000484463,, , 0.173913,0.307138,0.0916197,6.2831,1.66101,5.50154,0.0808249,0.116473,0.068433,0.024022,0.00600626,0.017688,0.0855392,0.76041,0.000484463,6.90454
6,2.44596,2.48999,8.43959,0.167776,0.151033,0.154112,15.3127,0.00106407,0.449235,0.493263,5.50222,0.162759,0.0970241,0.100103,1.48531,0.000945886,, , 0.351979,0.409594,0.180924,11.9572,2.76803,5.50222,0.162759,0.232886,0.138409,0.0467762,0.0119424,0.0313899,0.125166,1.48531,0.000945886,13.8055
7,0.470108,0.47125,9.57544,0.406292,0.0297414,0.0300867,49.3592,0.000316578,0.38587,0.387012,0.0129478,0.389206,0.0164157,0.016761,0.196433,9.93532e-05,, , 0.0100994,0.757676,0.00510665,12.0326,0.287717,0.0129478,0.389206,0.827824,0.0136709,0.0183357,0.00117013,0.107445,0.0520212,0.196433,9.93532e-05,49.0734
8,0.0286214,0.028758,0.0180376,0.00107534,0.000539115,0.000545229,0.0602466,3.86912e-07,0.00198543,0.00212193,0.00206668,0.00105449,8.72616e-05,9.33759e-05,0.000227483,1.21745e-07,, , 0.00127365,0.00218914,0.000644581,0.0803593,0.0212412,0.00206668,0.00105449,0.00101147,7.34273e-05,8.89254e-05,1.82848e-05,0.000321226,0.00074128,0.000227483,1.21745e-07,0.0599602
Total,37.9506,30.1947,53.2722,0.731945,1.29638,1.23756,84.4456,0.00493002,6.91292,7.00245,34.7003,0.705111,0.562609,0.558242,8.40178,0.00185612,, , 1.84421,11.0806,0.990543,66.3248,24.21,34.7003,0.705111,1.2825,0.716961,0.339823,0.0640666,0.186405,1.4432,8.40178,0.00185612,76.0265

