Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96132,0,1.81752,0.00100779,0.0727608,0,0.111504,6.78368e-06,0.115873,0,1.23285,0.00100075,0.0183149,0,0.0876581,6.69418e-06,, , 0.0677702,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00100075,0.000987789,0.0134822,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.69418e-06,0.0585562
2,15.1251,15.1826,11.342,0.0109668,0.499994,0.503766,3.47522,5.48108e-05,3.68436,3.74186,9.61552,0.0106532,0.174168,0.177941,2.60678,2.964e-06,, , 0.533601,6.59864,0.293982,15.1163,9.97854,9.61552,0.0106532,0.0155217,0.20401,0.129148,0.0189507,0.00853657,0.640836,2.60678,2.964e-06,0.920125
3,4.20545,4.23056,7.27578,0.0218275,0.174032,0.175436,2.87844,0.000135506,0.891266,0.91637,6.41762,0.0212004,0.0703895,0.0717939,1.14891,1.50916e-05,, , 0.229832,1.44982,0.127988,5.23262,3.22804,6.41762,0.0212004,0.0293457,0.0921097,0.0417726,0.00830112,0.00755516,0.204585,1.14891,1.50916e-05,1.73961
4,6.18174,6.23842,7.76664,0.0428389,0.279869,0.28375,5.58614,0.000872589,1.10775,1.16443,6.41582,0.0415848,0.137359,0.14124,2.12812,0.00021076,, , 0.474439,1.54823,0.249511,8.74862,4.6985,6.41582,0.0415848,0.0584488,0.18606,0.0761984,0.0163399,0.0118465,0.284231,2.12812,0.00021076,3.46485
5,1.53143,1.55229,7.03726,0.0855673,0.0881356,0.0895623,7.67424,0.00143133,0.275731,0.296588,5.50143,0.083059,0.0485796,0.0500063,0.760407,0.00068612,, , 0.173561,0.307138,0.0916197,6.2831,1.66101,5.50143,0.083059,0.116473,0.0685628,0.024022,0.0060011,0.017688,0.0855392,0.760407,0.00068612,6.90454
6,2.44859,2.49261,8.43916,0.155279,0.151511,0.154801,15.2949,0.000433961,0.451857,0.495885,5.50179,0.150262,0.0975025,0.100792,1.46754,0.000315772,, , 0.357224,0.409594,0.180924,11.9572,2.76803,5.50179,0.150262,0.232886,0.13962,0.0467762,0.0118989,0.0313899,0.125166,1.46754,0.000315772,13.8055
7,0.470089,0.471231,9.5755,0.280179,0.0297336,0.0300647,49.3627,0.000251325,0.385851,0.386993,0.0130051,0.263093,0.0164079,0.016739,0.199939,3.41008e-05,, , 0.0100613,0.757676,0.00510665,12.0326,0.287717,0.0130051,0.263093,0.827824,0.0136382,0.0183357,0.00117306,0.107445,0.0520212,0.199939,3.41008e-05,49.0734
8,0.0286193,0.0287558,0.0180754,0.00101572,0.000539332,0.0005453,0.0602488,3.81419e-07,0.00198331,0.00211981,0.00210456,0.000994867,8.74789e-05,9.34469e-05,0.000229628,1.16253e-07,, , 0.0012694,0.00218914,0.000644581,0.0803593,0.0212412,0.00210456,0.000994867,0.00101147,7.36853e-05,8.89254e-05,1.83151e-05,0.000321226,0.00074128,0.000229628,1.16253e-07,0.0599602
Total,37.9523,30.1964,53.272,0.598682,1.29658,1.23793,84.4434,0.00318669,6.91467,7.00424,34.7001,0.571848,0.562809,0.558605,8.39958,0.00127162,, , 1.84776,11.0806,0.990543,66.3248,24.21,34.7001,0.571848,1.2825,0.717557,0.339823,0.0640344,0.186405,1.4432,8.39958,0.00127162,76.0265

