Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96138,0,1.81752,0.00102654,0.0727716,0,0.111504,4.78083e-06,0.11593,0,1.23285,0.0010195,0.0183257,0,0.0876581,4.69133e-06,, , 0.0678277,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.013493,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,4.69133e-06,0.0585562
2,15.1247,15.1822,11.342,0.0104378,0.500364,0.504163,3.47522,0.00078752,3.68397,3.74147,9.61546,0.0101243,0.174538,0.178337,2.60677,4.87583e-05,, , 0.532824,6.59864,0.293982,15.1163,9.97854,9.61546,0.0101243,0.0155217,0.204782,0.129148,0.0189452,0.00853657,0.640836,2.60677,4.87583e-05,0.920125
3,4.20582,4.23092,7.27548,0.0213816,0.174075,0.175555,2.86638,0.00103427,0.891634,0.916739,6.41731,0.0207545,0.0704323,0.0719125,1.13685,0.000127438,, , 0.230568,1.44982,0.127988,5.23262,3.22804,6.41731,0.0207545,0.0293457,0.0922868,0.0417726,0.00828544,0.00755516,0.204585,1.13685,0.000127438,1.73961
4,6.18006,6.23673,7.76687,0.0428851,0.279681,0.283448,5.61028,0.000875638,1.10607,1.16274,6.41605,0.041631,0.137171,0.140938,2.15226,0.000211523,, , 0.47107,1.54823,0.249511,8.74862,4.6985,6.41605,0.041631,0.0584488,0.185547,0.0761984,0.0163635,0.0118465,0.284231,2.15226,0.000211523,3.46485
5,1.53133,1.55218,7.03746,0.0831752,0.0880687,0.0894456,7.67425,0.00105157,0.275623,0.296479,5.50164,0.0806669,0.0485128,0.0498896,0.760412,0.000496239,, , 0.173345,0.307138,0.0916197,6.2831,1.66101,5.50164,0.0806669,0.116473,0.068369,0.024022,0.00601141,0.017688,0.0855392,0.760412,0.000496239,6.90454
6,2.44616,2.49019,8.43973,0.164929,0.150873,0.153881,15.3304,0.000929292,0.449435,0.493463,5.50236,0.159912,0.0968639,0.0998721,1.50306,0.000811103,, , 0.352379,0.409594,0.180924,11.9572,2.76803,5.50236,0.159912,0.232886,0.138003,0.0467762,0.0119571,0.0313899,0.125166,1.50306,0.000811103,13.8055
7,0.47011,0.471252,9.57548,0.319532,0.0298572,0.030194,49.3609,0.000262522,0.385872,0.387014,0.0129824,0.302446,0.0165315,0.0168682,0.198186,4.52976e-05,, , 0.0101028,0.757676,0.00510665,12.0326,0.287717,0.0129824,0.302446,0.827824,0.0138922,0.0183357,0.0011719,0.107445,0.0520212,0.198186,4.52976e-05,49.0734
8,0.0286199,0.0287564,0.0180535,0.000976646,0.000539282,0.000545335,0.0602466,3.74445e-07,0.00198392,0.00212042,0.0020826,0.000955791,8.74291e-05,9.34818e-05,0.000227484,1.09278e-07,, , 0.00127062,0.00218914,0.000644581,0.0803593,0.0212412,0.0020826,0.000955791,0.00101147,7.36879e-05,8.89254e-05,1.82975e-05,0.000321226,0.00074128,0.000227484,1.09278e-07,0.0599602
Total,37.9482,30.1922,53.2726,0.644344,1.29623,1.23723,84.4892,0.00494597,6.91051,7.00003,34.7007,0.617511,0.562462,0.557911,8.44543,0.00174516,, , 1.83939,11.0806,0.990543,66.3248,24.21,34.7007,0.617511,1.2825,0.716446,0.339823,0.0641041,0.186405,1.4432,8.44543,0.00174516,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.1187,0.00819287,1.51094,19.2757,0.0203133,3.74621
