Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96134,0,1.81752,0.00103904,0.0727637,0,0.111504,9.52472e-06,0.115888,0,1.23285,0.001032,0.0183178,0,0.0876581,9.43522e-06,, , 0.0677859,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.001032,0.000987789,0.0134851,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,9.43522e-06,0.0585562
2,15.1239,15.1814,11.3419,0.0105181,0.499972,0.50379,3.47521,0.000875604,3.68315,3.74065,9.61543,0.0102046,0.174146,0.177964,2.60677,5.42636e-05,, , 0.531184,6.59864,0.293982,15.1163,9.97854,9.61543,0.0102046,0.0155217,0.204022,0.129148,0.0189412,0.00853657,0.640836,2.60677,5.42636e-05,0.920125
3,4.20573,4.23084,7.27533,0.0212763,0.173793,0.175311,2.85432,0.0010309,0.891546,0.91665,6.41716,0.0206493,0.0701502,0.0716682,1.12479,0.000127016,, , 0.230392,1.44982,0.127988,5.23262,3.22804,6.41716,0.0206493,0.0293457,0.0917682,0.0417726,0.00827764,0.00755516,0.204585,1.12479,0.000127016,1.73961
4,6.17916,6.23584,7.76709,0.0429117,0.279033,0.282691,5.63442,0.00100218,1.10517,1.16185,6.41627,0.0416576,0.136523,0.140181,2.1764,0.000243158,, , 0.469281,1.54823,0.249511,8.74862,4.6985,6.41627,0.0416576,0.0584488,0.18412,0.0761984,0.0163858,0.0118465,0.284231,2.1764,0.000243158,3.46485
5,1.53154,1.5524,7.0378,0.074267,0.087967,0.0892588,7.68313,0.000256725,0.275838,0.296694,5.50198,0.0717587,0.048411,0.0497029,0.769289,9.88151e-05,, , 0.173774,0.307138,0.0916197,6.2831,1.66101,5.50198,0.0717587,0.116473,0.0680629,0.024022,0.006029,0.017688,0.0855392,0.769289,9.88151e-05,6.90454
6,2.44575,2.48978,8.43975,0.161059,0.150842,0.153842,15.3304,0.000704857,0.449024,0.493052,5.50238,0.156042,0.0968331,0.0998332,1.50306,0.000586668,, , 0.351558,0.409594,0.180924,11.9572,2.76803,5.50238,0.156042,0.232886,0.137931,0.0467762,0.0119588,0.0313899,0.125166,1.50306,0.000586668,13.8055
7,0.470109,0.471252,9.5755,0.324717,0.0297618,0.030094,49.3627,0.000265983,0.385872,0.387014,0.0130007,0.307631,0.0164361,0.0167683,0.199938,4.87587e-05,, , 0.0101026,0.757676,0.00510665,12.0326,0.287717,0.0130007,0.307631,0.827824,0.0136959,0.0183357,0.00117283,0.107445,0.0520212,0.199938,4.87587e-05,49.0734
8,0.028618,0.0287545,0.0180689,0.000494162,0.000539334,0.000545327,0.0602488,3.25243e-07,0.00198202,0.00211852,0.00209797,0.000473307,8.74807e-05,9.34741e-05,0.000229627,6.00763e-08,, , 0.00126683,0.00218914,0.000644581,0.0803593,0.0212412,0.00209797,0.000473307,0.00101147,7.37195e-05,8.89254e-05,1.83098e-05,0.000321226,0.00074128,0.000229627,6.00763e-08,0.0599602
Total,37.9461,30.1902,53.273,0.636282,1.29467,1.23553,84.5119,0.0041461,6.90847,6.99803,34.7012,0.609448,0.560905,0.556212,8.46814,0.00116817,, , 1.83534,11.0806,0.990543,66.3248,24.21,34.7012,0.609448,1.2825,0.713159,0.339823,0.0641349,0.186405,1.4432,8.46814,0.00116817,76.0265

