Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96131,0,1.81752,0.00103279,0.072758,0,0.111504,8.91135e-06,0.115859,0,1.23285,0.00102575,0.0183121,0,0.0876581,8.82185e-06,, , 0.0677571,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00102575,0.000987789,0.0134794,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,8.82185e-06,0.0585562
2,15.1252,15.1827,11.342,0.01082,0.500084,0.50389,3.47522,0.0011328,3.68446,3.74197,9.61545,0.0105065,0.174258,0.178064,2.60677,7.03381e-05,, , 0.533806,6.59864,0.293982,15.1163,9.97854,9.61545,0.0105065,0.0155217,0.20423,0.129148,0.0189438,0.00853657,0.640836,2.60677,7.03381e-05,0.920125
3,4.20566,4.23077,7.2757,0.0207314,0.174062,0.175487,2.86639,0.00075156,0.891476,0.916581,6.41753,0.0201043,0.0704197,0.0718442,1.13686,9.20984e-05,, , 0.230252,1.44982,0.127988,5.23262,3.22804,6.41753,0.0201043,0.0293457,0.0921943,0.0417726,0.00829697,0.00755516,0.204585,1.13686,9.20984e-05,1.73961
4,6.18141,6.23809,7.76646,0.0419088,0.279758,0.283727,5.58612,0.0011477,1.10742,1.1641,6.41564,0.0406547,0.137247,0.141217,2.12811,0.000279539,, , 0.473782,1.54823,0.249511,8.74862,4.6985,6.41564,0.0406547,0.0584488,0.185945,0.0761984,0.0163215,0.0118465,0.284231,2.12811,0.000279539,3.46485
5,1.5316,1.55245,7.03735,0.0804527,0.0881099,0.0895123,7.67425,0.000738137,0.275892,0.296749,5.50153,0.0779444,0.048554,0.0499564,0.76041,0.000339521,, , 0.173883,0.307138,0.0916197,6.2831,1.66101,5.50153,0.0779444,0.116473,0.0684822,0.024022,0.00600613,0.017688,0.0855392,0.76041,0.000339521,6.90454
6,2.44598,2.49001,8.43938,0.153521,0.151233,0.154418,15.3127,0.000356463,0.449252,0.49328,5.50201,0.148504,0.0972245,0.10041,1.4853,0.000238274,, , 0.352013,0.409594,0.180924,11.9572,2.76803,5.50201,0.148504,0.232886,0.138937,0.0467762,0.0119205,0.0313899,0.125166,1.4853,0.000238274,13.8055
7,0.47011,0.471252,9.57548,0.357091,0.0297488,0.030085,49.3609,0.000280084,0.385872,0.387014,0.0129845,0.340005,0.0164231,0.0167593,0.198186,6.28597e-05,, , 0.0101032,0.757676,0.00510665,12.0326,0.287717,0.0129845,0.340005,0.827824,0.0136747,0.0183357,0.00117201,0.107445,0.0520212,0.198186,6.28597e-05,49.0734
8,0.0286213,0.0287578,0.0180595,0.000852785,0.000539275,0.000545305,0.0602466,3.59163e-07,0.00198528,0.00212179,0.00208864,0.000831929,8.74223e-05,9.34518e-05,0.000227485,9.39967e-08,, , 0.00127335,0.00218914,0.000644581,0.0803593,0.0212412,0.00208864,0.000831929,0.00101147,7.36463e-05,8.89254e-05,1.83023e-05,0.000321226,0.00074128,0.000227485,9.39967e-08,0.0599602
Total,37.9499,30.194,53.2719,0.66641,1.29629,1.23766,84.4473,0.00441602,6.91222,7.00181,34.7001,0.639577,0.562526,0.558344,8.40351,0.00109155,, , 1.84287,11.0806,0.990543,66.3248,24.21,34.7001,0.639577,1.2825,0.717016,0.339823,0.0640306,0.186405,1.4432,8.40351,0.00109155,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11972,0.0081912,1.51063,19.3609,0.020303,3.74432
