Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96132,0,1.81752,0.00102654,0.0727609,0,0.111504,8.4992e-06,0.115875,0,1.23285,0.0010195,0.018315,0,0.0876581,8.40971e-06,, , 0.0677729,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134823,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,8.40971e-06,0.0585562
2,15.1233,15.1808,11.342,0.0108656,0.50045,0.504252,3.47522,0.00139716,3.68257,3.74008,9.61546,0.0105521,0.174625,0.178426,2.60677,8.68611e-05,, , 0.53003,6.59864,0.293982,15.1163,9.97854,9.61546,0.0105521,0.0155217,0.204958,0.129148,0.0189447,0.00853657,0.640836,2.60677,8.68611e-05,0.920125
3,4.20571,4.23081,7.27521,0.0211461,0.173623,0.175171,2.85432,0.000962062,0.891523,0.916627,6.41704,0.0205191,0.0699803,0.071528,1.12478,0.000118411,, , 0.230346,1.44982,0.127988,5.23262,3.22804,6.41704,0.0205191,0.0293457,0.0914643,0.0417726,0.00827148,0.00755516,0.204585,1.12478,0.000118411,1.73961
4,6.17945,6.23612,7.76693,0.0419217,0.278633,0.282369,5.61028,0.000987305,1.10546,1.16213,6.41611,0.0406676,0.136122,0.139859,2.15227,0.000239439,, , 0.469847,1.54823,0.249511,8.74862,4.6985,6.41611,0.0406676,0.0584488,0.183413,0.0761984,0.0163697,0.0118465,0.284231,2.15227,0.000239439,3.46485
5,1.53066,1.55152,7.03801,0.0718386,0.0879296,0.0891706,7.692,0.000198551,0.274955,0.295812,5.50219,0.0693303,0.0483737,0.0496146,0.778161,6.9728e-05,, , 0.172009,0.307138,0.0916197,6.2831,1.66101,5.50219,0.0693303,0.116473,0.0679268,0.024022,0.00603952,0.017688,0.0855392,0.778161,6.9728e-05,6.90454
6,2.44504,2.48907,8.43985,0.159896,0.150722,0.153671,15.3304,0.00075948,0.448311,0.492339,5.50248,0.154879,0.0967128,0.0996621,1.50307,0.000641291,, , 0.350131,0.409594,0.180924,11.9572,2.76803,5.50248,0.154879,0.232886,0.13763,0.0467762,0.0119693,0.0313899,0.125166,1.50307,0.000641291,13.8055
7,0.470073,0.471215,9.57552,0.429603,0.0296962,0.0300222,49.3644,0.000364022,0.385835,0.386977,0.0130258,0.412517,0.0163705,0.0166965,0.201691,0.000146798,, , 0.0100287,0.757676,0.00510665,12.0326,0.287717,0.0130258,0.412517,0.827824,0.0135571,0.0183357,0.00117412,0.107445,0.0520212,0.201691,0.000146798,49.0734
8,0.0286158,0.0287523,0.0180485,0.000779128,0.000539269,0.000545341,0.0602466,3.56518e-07,0.00197976,0.00211626,0.00207766,0.000758273,8.74157e-05,9.34875e-05,0.000227484,9.13519e-08,, , 0.0012623,0.00218914,0.000644581,0.0803593,0.0212412,0.00207766,0.000758273,0.00101147,7.36842e-05,8.89254e-05,1.82936e-05,0.000321226,0.00074128,0.000227484,9.13519e-08,0.0599602
Total,37.9442,30.1883,53.2731,0.737076,1.29435,1.2352,84.4984,0.00467744,6.90651,6.99608,34.7012,0.710243,0.560587,0.55588,8.45463,0.00131103,, , 1.83143,11.0806,0.990543,66.3248,24.21,34.7012,0.710243,1.2825,0.712506,0.339823,0.0641383,0.186405,1.4432,8.45463,0.00131103,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11858,0.00818715,1.50989,19.2659,0.0202782,3.73973
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
