Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96144,0,1.81752,0.00102654,0.0727847,0,0.111504,4.09073e-06,0.115992,0,1.23285,0.0010195,0.0183388,0,0.0876581,4.00124e-06,, , 0.0678894,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0135061,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,4.00124e-06,0.0585562
2,15.1236,15.1811,11.3418,0.0097004,0.500087,0.503999,3.44752,0.000602479,3.68285,3.74036,9.61524,0.00938689,0.174262,0.178173,2.57908,3.71933e-05,, , 0.530585,6.59864,0.293982,15.1163,9.97854,9.61524,0.00938689,0.0155217,0.204365,0.129148,0.018922,0.00853657,0.640836,2.57908,3.71933e-05,0.920125
3,4.20616,4.23127,7.27538,0.0190705,0.172182,0.173687,2.85432,0.00073886,0.891976,0.917081,6.41721,0.0184434,0.0685396,0.0700442,1.12479,9.05108e-05,, , 0.231253,1.44982,0.127988,5.23262,3.22804,6.41721,0.0184434,0.0293457,0.0885309,0.0417726,0.00828039,0.00755516,0.204585,1.12479,9.05108e-05,1.73961
4,6.17958,6.23625,7.76717,0.034381,0.273595,0.277215,5.63442,0.000262691,1.10559,1.16226,6.41635,0.0331269,0.131085,0.134704,2.17641,5.82859e-05,, , 0.470109,1.54823,0.249511,8.74862,4.6985,6.41635,0.0331269,0.0584488,0.173197,0.0761984,0.016394,0.0118465,0.284231,2.17641,5.82859e-05,3.46485
5,1.52986,1.55072,7.03861,0.0701926,0.0877333,0.0888266,7.70974,0.000326862,0.274157,0.295013,5.50278,0.0676843,0.0481774,0.0492706,0.795904,0.000133884,, , 0.170412,0.307138,0.0916197,6.2831,1.66101,5.50278,0.0676843,0.116473,0.0673559,0.024022,0.00607008,0.017688,0.0855392,0.795904,0.000133884,6.90454
6,2.44318,2.48721,8.4404,0.149562,0.149548,0.152225,15.366,0.000497805,0.446451,0.490479,5.50303,0.144545,0.0955386,0.0982161,1.53857,0.000379616,, , 0.346412,0.409594,0.180924,11.9572,2.76803,5.50303,0.144545,0.232886,0.134953,0.0467762,0.0120255,0.0313899,0.125166,1.53857,0.000379616,13.8055
7,0.469994,0.471136,9.57569,0.187234,0.0295521,0.029837,49.3714,0.000237811,0.385756,0.386898,0.0131921,0.170148,0.0162264,0.0165113,0.2087,2.05862e-05,, , 0.00987103,0.757676,0.00510665,12.0326,0.287717,0.0131921,0.170148,0.827824,0.0132194,0.0183357,0.00118262,0.107445,0.0520212,0.2087,2.05862e-05,49.0734
8,0.028612,0.0287485,0.0180809,0.000766435,0.000539308,0.000545255,0.0602488,3.7842e-07,0.00197598,0.00211248,0.00211005,0.00074558,8.74549e-05,9.34016e-05,0.000229628,1.13254e-07,, , 0.00125475,0.00218914,0.000644581,0.0803593,0.0212412,0.00211005,0.00074558,0.00101147,7.36117e-05,8.89254e-05,1.83194e-05,0.000321226,0.00074128,0.000229628,1.13254e-07,0.0599602
Total,37.9424,30.1864,53.2746,0.471934,1.28602,1.22633,84.5551,0.00267098,6.90474,6.9942,34.7028,0.4451,0.552255,0.547013,8.51134,0.00072419,, , 1.82779,11.0806,0.990543,66.3248,24.21,34.7028,0.4451,1.2825,0.695201,0.339823,0.0642442,0.186405,1.4432,8.51134,0.00072419,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11767,0.00820511,1.5132,19.1879,0.0203887,3.76011
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96144,0,1.81752,0.00102654,0.0727847,0,0.111504,4.09073e-06,0.115992,0,1.23285,0.0010195,0.0183388,0,0.0876581,4.00124e-06,, , 0.0678894,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0135061,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,4.00124e-06,0.0585562
2,15.1236,15.1811,11.3418,0.0097004,0.500087,0.503999,3.44752,0.000602479,3.68285,3.74036,9.61524,0.00938689,0.174262,0.178173,2.57908,3.71933e-05,, , 0.530585,6.59864,0.293982,15.1163,9.97854,9.61524,0.00938689,0.0155217,0.204365,0.129148,0.018922,0.00853657,0.640836,2.57908,3.71933e-05,0.920125
3,4.20616,4.23127,7.27538,0.0190705,0.172182,0.173687,2.85432,0.00073886,0.891976,0.917081,6.41721,0.0184434,0.0685396,0.0700442,1.12479,9.05108e-05,, , 0.231253,1.44982,0.127988,5.23262,3.22804,6.41721,0.0184434,0.0293457,0.0885309,0.0417726,0.00828039,0.00755516,0.204585,1.12479,9.05108e-05,1.73961
4,6.17958,6.23625,7.76717,0.034381,0.273595,0.277215,5.63442,0.000262691,1.10559,1.16226,6.41635,0.0331269,0.131085,0.134704,2.17641,5.82859e-05,, , 0.470109,1.54823,0.249511,8.74862,4.6985,6.41635,0.0331269,0.0584488,0.173197,0.0761984,0.016394,0.0118465,0.284231,2.17641,5.82859e-05,3.46485
5,1.52986,1.55072,7.03861,0.0701926,0.0877333,0.0888266,7.70974,0.000326862,0.274157,0.295013,5.50278,0.0676843,0.0481774,0.0492706,0.795904,0.000133884,, , 0.170412,0.307138,0.0916197,6.2831,1.66101,5.50278,0.0676843,0.116473,0.0673559,0.024022,0.00607008,0.017688,0.0855392,0.795904,0.000133884,6.90454
6,2.44318,2.48721,8.4404,0.149562,0.149548,0.152225,15.366,0.000497805,0.446451,0.490479,5.50303,0.144545,0.0955386,0.0982161,1.53857,0.000379616,, , 0.346412,0.409594,0.180924,11.9572,2.76803,5.50303,0.144545,0.232886,0.134953,0.0467762,0.0120255,0.0313899,0.125166,1.53857,0.000379616,13.8055
7,0.469994,0.471136,9.57569,0.187234,0.0295521,0.029837,49.3714,0.000237811,0.385756,0.386898,0.0131921,0.170148,0.0162264,0.0165113,0.2087,2.05862e-05,, , 0.00987103,0.757676,0.00510665,12.0326,0.287717,0.0131921,0.170148,0.827824,0.0132194,0.0183357,0.00118262,0.107445,0.0520212,0.2087,2.05862e-05,49.0734
8,0.028612,0.0287485,0.0180809,0.000766435,0.000539308,0.000545255,0.0602488,3.7842e-07,0.00197598,0.00211248,0.00211005,0.00074558,8.74549e-05,9.34016e-05,0.000229628,1.13254e-07,, , 0.00125475,0.00218914,0.000644581,0.0803593,0.0212412,0.00211005,0.00074558,0.00101147,7.36117e-05,8.89254e-05,1.83194e-05,0.000321226,0.00074128,0.000229628,1.13254e-07,0.0599602
Total,37.9424,30.1864,53.2746,0.471934,1.28602,1.22633,84.5551,0.00267098,6.90474,6.9942,34.7028,0.4451,0.552255,0.547013,8.51134,0.00072419,, , 1.82779,11.0806,0.990543,66.3248,24.21,34.7028,0.4451,1.2825,0.695201,0.339823,0.0642442,0.186405,1.4432,8.51134,0.00072419,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11767,0.00820511,1.5132,19.1879,0.0203887,3.76011
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96141,0,1.81752,0.00102654,0.0727791,0,0.111504,7.12812e-06,0.115959,0,1.23285,0.0010195,0.0183332,0,0.0876581,7.03863e-06,, , 0.0678562,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0135005,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,7.03863e-06,0.0585562
2,15.1236,15.1811,11.3417,0.00759365,0.499758,0.503717,3.44751,5.11113e-05,3.6829,3.7404,9.61514,0.00728013,0.173932,0.177891,2.57907,2.73278e-06,, , 0.530678,6.59864,0.293982,15.1163,9.97854,9.61514,0.00728013,0.0155217,0.203763,0.129148,0.0189122,0.00853657,0.640836,2.57907,2.73278e-06,0.920125
3,4.20692,4.23203,7.27441,0.0182552,0.171378,0.173124,2.81811,0.000172452,0.892735,0.91784,6.41624,0.0176282,0.0677357,0.0694809,1.08858,1.97098e-05,, , 0.232771,1.44982,0.127988,5.23262,3.22804,6.41624,0.0176282,0.0293457,0.0872134,0.0417726,0.00823062,0.00755516,0.204585,1.08858,1.97098e-05,1.73961
