Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96134,0,1.81752,0.00104529,0.0727648,0,0.111504,8.31577e-06,0.115894,0,1.23285,0.00103825,0.0183189,0,0.0876581,8.22627e-06,, , 0.0677918,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00103825,0.000987789,0.0134862,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,8.22627e-06,0.0585562
2,15.1259,15.1834,11.3419,0.0101998,0.500443,0.504273,3.47521,0.000648145,3.68517,3.74267,9.6154,0.00988625,0.174617,0.178448,2.60677,4.00474e-05,, , 0.535218,6.59864,0.293982,15.1163,9.97854,9.6154,0.00988625,0.0155217,0.204978,0.129148,0.0189386,0.00853657,0.640836,2.60677,4.00474e-05,0.920125
3,4.20554,4.23064,7.2756,0.0219167,0.174068,0.175517,2.86638,0.000608534,0.891354,0.916458,6.41743,0.0212896,0.0704257,0.0718748,1.13685,7.42201e-05,, , 0.230007,1.44982,0.127988,5.23262,3.22804,6.41743,0.0212896,0.0293457,0.0922361,0.0417726,0.00829186,0.00755516,0.204585,1.13685,7.42201e-05,1.73961
4,6.18165,6.23833,7.76656,0.0402571,0.28009,0.284006,5.58613,0.000639147,1.10766,1.16434,6.41575,0.039003,0.13758,0.141496,2.12812,0.0001524,, , 0.474263,1.54823,0.249511,8.74862,4.6985,6.41575,0.039003,0.0584488,0.186546,0.0761984,0.0163326,0.0118465,0.284231,2.12812,0.0001524,3.46485
5,1.53219,1.55304,7.03698,0.0780631,0.0882538,0.0897497,7.66537,0.00045052,0.276482,0.297338,5.50116,0.0755548,0.0486979,0.0501938,0.75153,0.000195713,, , 0.175062,0.307138,0.0916197,6.2831,1.66101,5.50116,0.0755548,0.116473,0.0688828,0.024022,0.0059868,0.017688,0.0855392,0.75153,0.000195713,6.90454
6,2.44764,2.49166,8.43919,0.161713,0.151361,0.154639,15.2949,0.000570401,0.450907,0.494935,5.50182,0.156696,0.0973523,0.10063,1.46754,0.000452212,, , 0.355324,0.409594,0.180924,11.9572,2.76803,5.50182,0.156696,0.232886,0.139304,0.0467762,0.0119014,0.0313899,0.125166,1.46754,0.000452212,13.8055
7,0.47011,0.471252,9.57551,0.303969,0.0297552,0.0300836,49.3627,0.000257118,0.385872,0.387014,0.0130161,0.286883,0.0164295,0.0167579,0.199939,3.98932e-05,, , 0.0101035,0.757676,0.00510665,12.0326,0.287717,0.0130161,0.286883,0.827824,0.0136782,0.0183357,0.00117362,0.107445,0.0520212,0.199939,3.98932e-05,49.0734
8,0.0286154,0.0287519,0.0180623,0.00105661,0.000539284,0.000545303,0.0602466,3.7375e-07,0.00197943,0.00211593,0.00209138,0.00103575,8.74313e-05,9.34501e-05,0.000227485,1.08583e-07,, , 0.00126164,0.00218914,0.000644581,0.0803593,0.0212412,0.00209138,0.00103575,0.00101147,7.36515e-05,8.89254e-05,1.83045e-05,0.000321226,0.00074128,0.000227485,1.08583e-07,0.0599602
Total,37.953,30.1971,53.2714,0.618221,1.29728,1.23881,84.4224,0.00318256,6.91532,7.00487,34.6995,0.591387,0.563509,0.559494,8.37863,0.00096282,, , 1.84903,11.0806,0.990543,66.3248,24.21,34.6995,0.591387,1.2825,0.719185,0.339823,0.0639946,0.186405,1.4432,8.37863,0.00096282,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12031,0.00819406,1.51116,19.4075,0.0203206,3.74756
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96141,0,1.81752,0.00102654,0.0727776,0,0.111504,5.43447e-06,0.115958,0,1.23285,0.0010195,0.0183317,0,0.0876581,5.34498e-06,, , 0.0678554,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.013499,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,5.34498e-06,0.0585562
2,15.1253,15.1828,11.342,0.0109851,0.501078,0.504859,3.47522,0.000761837,3.68455,3.74205,9.6155,0.0106716,0.175253,0.179034,2.60677,4.71531e-05,, , 0.533983,6.59864,0.293982,15.1163,9.97854,9.6155,0.0106716,0.0155217,0.206189,0.129148,0.0189489,0.00853657,0.640836,2.60677,4.71531e-05,0.920125
3,4.2058,4.2309,7.27566,0.0219768,0.174107,0.175541,2.86639,0.000444967,0.89161,0.916715,6.41749,0.0213498,0.0704641,0.0718986,1.13686,5.37742e-05,, , 0.230521,1.44982,0.127988,5.23262,3.22804,6.41749,0.0213498,0.0293457,0.0922953,0.0417726,0.00829489,0.00755516,0.204585,1.13686,5.37742e-05,1.73961
4,6.18275,6.23942,7.76643,0.0417813,0.280114,0.284097,5.58612,0.00104665,1.10875,1.16543,6.41561,0.0405272,0.137604,0.141587,2.12811,0.000254275,, , 0.476445,1.54823,0.249511,8.74862,4.6985,6.41561,0.0405272,0.0584488,0.186674,0.0761984,0.0163189,0.0118465,0.284231,2.12811,0.000254275,3.46485
5,1.53221,1.55307,7.03706,0.0769449,0.0882674,0.0897417,7.66537,0.000420377,0.276511,0.297368,5.50124,0.0744366,0.0487114,0.0501857,0.751532,0.000180641,, , 0.175122,0.307138,0.0916197,6.2831,1.66101,5.50124,0.0744366,0.116473,0.0688838,0.024022,0.00599126,0.017688,0.0855392,0.751532,0.000180641,6.90454
6,2.44754,2.49156,8.43919,0.157784,0.151457,0.154732,15.2949,0.000474194,0.450808,0.494836,5.50182,0.152767,0.097448,0.100723,1.46754,0.000356005,, , 0.355125,0.409594,0.180924,11.9572,2.76803,5.50182,0.152767,0.232886,0.139493,0.0467762,0.0119019,0.0313899,0.125166,1.46754,0.000356005,13.8055
7,0.470121,0.471263,9.57549,0.33293,0.0297323,0.0300664,49.3627,0.000264678,0.385884,0.387026,0.0129933,0.315844,0.0164066,0.0167406,0.199938,4.74532e-05,, , 0.0101263,0.757676,0.00510665,12.0326,0.287717,0.0129933,0.315844,0.827824,0.0136391,0.0183357,0.00117246,0.107445,0.0520212,0.199938,4.74532e-05,49.0734
8,0.0286153,0.0287518,0.0180634,0.00120351,0.000539291,0.000545305,0.0602466,4.19301e-07,0.00197929,0.00211579,0.00209248,0.00118265,8.74376e-05,9.34522e-05,0.000227485,1.54135e-07,, , 0.00126137,0.00218914,0.000644581,0.0803593,0.0212412,0.00209248,0.00118265,0.00101147,7.3659e-05,8.89254e-05,1.83054e-05,0.000321226,0.00074128,0.000227485,1.54135e-07,0.0599602
Total,37.9537,30.1977,53.2715,0.644633,1.29807,1.23958,84.4224,0.00341855,6.91605,7.00554,34.6996,0.617799,0.564306,0.560262,8.37863,0.000944801,, , 1.85044,11.0806,0.990543,66.3248,24.21,34.6996,0.617799,1.2825,0.720747,0.339823,0.0639979,0.186405,1.4432,8.37863,0.000944801,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12027,0.00819219,1.51081,19.4043,0.0203091,3.74543
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96013,0,1.81504,0.00100154,0.0693772,0,0.106323,4.37309e-06,0.114686,0,1.23036,0.000994499,0.0149313,0,0.0824771,4.28359e-06,, , 0.0665833,0.00733546,0.0407669,6.87397,1.56697,1.23036,0.000994499,0.000987789,0.0101269,0.00348139,0.00132306,0.00162304,0.0500789,0.0824771,4.28359e-06,0.0585562
2,15.1239,15.1814,11.3448,0.00860709,0.505198,0.5076,3.72441,0.000101553,3.68315,3.74065,9.61829,0.00829357,0.179372,0.181774,2.85596,5.88541e-06,, , 0.531185,6.59864,0.293982,15.1163,9.97854,9.61829,0.00829357,0.0155217,0.212764,0.129148,0.0192342,0.00853657,0.640836,2.85596,5.88541e-06,0.920125
3,4.21192,4.23703,7.27166,0.0113596,0.171929,0.174354,2.72146,0.000123148,0.897735,0.92284,6.41349,0.0107326,0.0682865,0.0707113,0.991927,1.35468e-05,, , 0.24277,1.44982,0.127988,5.23262,3.22804,6.41349,0.0107326,0.0293457,0.0891351,0.0417726,0.00809008,0.00755516,0.204585,0.991927,1.35468e-05,1.73961
4,6.18526,6.24193,7.76571,0.0353755,0.277232,0.28157,5.51366,0.000138395,1.11127,1.16794,6.4149,0.0341214,0.134722,0.13906,2.05565,2.7212e-05,, , 0.481474,1.54823,0.249511,8.74862,4.6985,6.4149,0.0341214,0.0584488,0.181338,0.0761984,0.0162455,0.0118465,0.284231,2.05565,2.7212e-05,3.46485
5,1.53419,1.55504,7.03643,0.0661496,0.0883952,0.0900264,7.64761,0.000454406,0.278483,0.29934,5.50061,0.0636413,0.0488392,0.0504704,0.733769,0.000197656,, , 0.179066,0.307138,0.0916197,6.2831,1.66101,5.50061,0.0636413,0.116473,0.0693288,0.024022,0.00595881,0.017688,0.0855392,0.733769,0.000197656,6.90454
