Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96134,0,1.81752,0.00102654,0.0727637,0,0.111504,6.79746e-06,0.115888,0,1.23285,0.0010195,0.0183178,0,0.0876581,6.70796e-06,, , 0.0677859,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134851,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.70796e-06,0.0585562
2,15.1237,15.1812,11.342,0.0106764,0.500391,0.504187,3.47522,0.00140772,3.68294,3.74044,9.61547,0.0103629,0.174565,0.178362,2.60677,8.75209e-05,, , 0.530761,6.59864,0.293982,15.1163,9.97854,9.61547,0.0103629,0.0155217,0.204833,0.129148,0.0189456,0.00853657,0.640836,2.60677,8.75209e-05,0.920125
3,4.20615,4.23126,7.27482,0.0212346,0.173541,0.175184,2.84225,0.00120181,0.891964,0.917069,6.41665,0.0206076,0.0698988,0.0715415,1.11271,0.00014838,, , 0.231229,1.44982,0.127988,5.23262,3.22804,6.41665,0.0206076,0.0293457,0.0914159,0.0417726,0.00825183,0.00755516,0.204585,1.11271,0.00014838,1.73961
4,6.18,6.23668,7.76698,0.0428529,0.27814,0.28185,5.61029,0.00110103,1.10601,1.16269,6.41617,0.0415988,0.13563,0.13934,2.15227,0.000267872,, , 0.470963,1.54823,0.249511,8.74862,4.6985,6.41617,0.0415988,0.0584488,0.182397,0.0761984,0.0163752,0.0118465,0.284231,2.15227,0.000267872,3.46485
5,1.53176,1.55262,7.03782,0.0840999,0.0879935,0.0892807,7.68313,0.00143477,0.276056,0.296912,5.502,0.0815916,0.0484376,0.0497247,0.76929,0.000687839,, , 0.17421,0.307138,0.0916197,6.2831,1.66101,5.502,0.0815916,0.116473,0.0681103,0.024022,0.00602996,0.017688,0.0855392,0.76929,0.000687839,6.90454
6,2.44534,2.48936,8.43997,0.130974,0.150634,0.153523,15.3305,0.000179904,0.448608,0.492636,5.5026,0.125957,0.0966248,0.0995141,1.50307,6.17151e-05,, , 0.350726,0.409594,0.180924,11.9572,2.76803,5.5026,0.125957,0.232886,0.137381,0.0467762,0.0119817,0.0313899,0.125166,1.50307,6.17151e-05,13.8055
7,0.470067,0.471209,9.57547,0.306142,0.0296647,0.0300037,49.3609,0.000260452,0.38583,0.386972,0.0129733,0.289056,0.016339,0.016678,0.198186,4.32273e-05,, , 0.0100185,0.757676,0.00510665,12.0326,0.287717,0.0129733,0.289056,0.827824,0.0135098,0.0183357,0.00117143,0.107445,0.0520212,0.198186,4.32273e-05,49.0734
8,0.0286161,0.0287526,0.0180518,0.000832568,0.000539284,0.000545343,0.0602466,3.55325e-07,0.00198004,0.00211654,0.00208095,0.000811713,8.74311e-05,9.34902e-05,0.000227484,9.01585e-08,, , 0.00126286,0.00218914,0.000644581,0.0803593,0.0212412,0.00208095,0.000811713,0.00101147,7.36997e-05,8.89254e-05,1.82962e-05,0.000321226,0.00074128,0.000227484,9.01585e-08,0.0599602
Total,37.9469,30.191,53.2726,0.597839,1.29367,1.23457,84.474,0.00559285,6.90928,6.99884,34.7008,0.571005,0.5599,0.555254,8.43019,0.00130335,, , 1.83696,11.0806,0.990543,66.3248,24.21,34.7008,0.571005,1.2825,0.711206,0.339823,0.0641254,0.186405,1.4432,8.43019,0.00130335,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11919,0.00819615,1.51155,19.3179,0.0203335,3.74993
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96134,0,1.81752,0.00102654,0.0727653,0,0.111504,5.43821e-06,0.115895,0,1.23285,0.0010195,0.0183194,0,0.0876581,5.34871e-06,, , 0.0677928,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134867,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,5.34871e-06,0.0585562
2,15.1236,15.1811,11.3419,0.00974008,0.500221,0.504063,3.47521,0.000217697,3.68292,3.74043,9.61538,0.00942656,0.174395,0.178238,2.60676,1.31444e-05,, , 0.53073,6.59864,0.293982,15.1163,9.97854,9.61538,0.00942656,0.0155217,0.204549,0.129148,0.0189362,0.00853657,0.640836,2.60676,1.31444e-05,0.920125
