Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96136,0,1.81752,0.00102654,0.0727681,0,0.111504,7.81916e-06,0.115913,0,1.23285,0.0010195,0.0183222,0,0.0876581,7.72967e-06,, , 0.0678106,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134895,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,7.72967e-06,0.0585562
2,15.1242,15.1817,11.3422,0.0109137,0.500117,0.503793,3.50291,0.00206606,3.68347,3.74098,9.61571,0.0106002,0.174291,0.177967,2.63447,0.000128667,, , 0.531826,6.59864,0.293982,15.1163,9.97854,9.61571,0.0106002,0.0155217,0.20414,0.129148,0.0189707,0.00853657,0.640836,2.63447,0.000128667,0.920125
3,4.20569,4.23079,7.27537,0.0215729,0.174015,0.175523,2.85432,0.000745853,0.8915,0.916604,6.4172,0.0209459,0.0703728,0.0718799,1.12479,9.13849e-05,, , 0.2303,1.44982,0.127988,5.23262,3.22804,6.4172,0.0209459,0.0293457,0.0922003,0.0417726,0.00827987,0.00755516,0.204585,1.12479,9.13849e-05,1.73961
4,6.18253,6.23921,7.76648,0.0431748,0.27997,0.283927,5.58612,0.000853073,1.10854,1.16522,6.41566,0.0419207,0.137459,0.141417,2.12811,0.000205881,, , 0.476024,1.54823,0.249511,8.74862,4.6985,6.41566,0.0419207,0.0584488,0.186354,0.0761984,0.016324,0.0118465,0.284231,2.12811,0.000205881,3.46485
5,1.53159,1.55245,7.03713,0.0646333,0.0881816,0.0896408,7.66537,0.000119493,0.275888,0.296744,5.5013,0.062125,0.0486256,0.0500848,0.751534,3.0199e-05,, , 0.173874,0.307138,0.0916197,6.2831,1.66101,5.5013,0.062125,0.116473,0.068694,0.024022,0.00599438,0.017688,0.0855392,0.751534,3.0199e-05,6.90454
6,2.44566,2.48968,8.43944,0.151511,0.15123,0.154382,15.3127,0.000295243,0.448926,0.492954,5.50207,0.146494,0.0972213,0.100373,1.4853,0.000177054,, , 0.351362,0.409594,0.180924,11.9572,2.76803,5.50207,0.146494,0.232886,0.138891,0.0467762,0.0119273,0.0313899,0.125166,1.4853,0.000177054,13.8055
7,0.47014,0.471282,9.57543,0.299075,0.0297465,0.030096,49.3592,0.000256501,0.385902,0.387044,0.0129306,0.281989,0.0164208,0.0167703,0.196432,3.92768e-05,, , 0.010164,0.757676,0.00510665,12.0326,0.287717,0.0129306,0.281989,0.827824,0.0136862,0.0183357,0.00116925,0.107445,0.0520212,0.196432,3.92768e-05,49.0734
8,0.0286202,0.0287567,0.0180678,0.000950001,0.000539319,0.000545317,0.0602488,3.70619e-07,0.00198421,0.00212072,0.00209688,0.000929146,8.74661e-05,9.34637e-05,0.000229627,1.05452e-07,, , 0.00127121,0.00218914,0.000644581,0.0803593,0.0212412,0.00209688,0.000929146,0.00101147,7.36955e-05,8.89254e-05,1.83089e-05,0.000321226,0.00074128,0.000229627,1.05452e-07,0.0599602
Total,37.9498,30.1939,53.2717,0.592857,1.29657,1.23791,84.4523,0.00434441,6.91213,7.00166,34.6998,0.566024,0.562801,0.558586,8.40852,0.000680298,, , 1.84263,11.0806,0.990543,66.3248,24.21,34.6998,0.566024,1.2825,0.717528,0.339823,0.0640352,0.186405,1.4432,8.40852,0.000680298,76.0265

