Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96136,0,1.81752,0.00102654,0.0727681,0,0.111504,6.46746e-06,0.115911,0,1.23285,0.0010195,0.0183222,0,0.0876581,6.37797e-06,, , 0.0678089,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134895,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.37797e-06,0.0585562
2,15.1255,15.183,11.342,0.0104899,0.500394,0.504175,3.47522,0.00120051,3.6848,3.74231,9.6155,0.0101764,0.174568,0.178349,2.60677,7.45702e-05,, , 0.534494,6.59864,0.293982,15.1163,9.97854,9.6155,0.0101764,0.0155217,0.204821,0.129148,0.0189488,0.00853657,0.640836,2.60677,7.45702e-05,0.920125
3,4.20558,4.23068,7.27568,0.0219561,0.174115,0.175546,2.86639,0.000683845,0.891392,0.916497,6.41751,0.0213291,0.0704725,0.0719037,1.13686,8.36339e-05,, , 0.230085,1.44982,0.127988,5.23262,3.22804,6.41751,0.0213291,0.0293457,0.0923081,0.0417726,0.00829557,0.00755516,0.204585,1.13686,8.36339e-05,1.73961
4,6.18119,6.23786,7.76673,0.0421714,0.280275,0.284108,5.58614,0.00104132,1.1072,1.16387,6.41592,0.0409173,0.137765,0.141598,2.12813,0.000252943,, , 0.473334,1.54823,0.249511,8.74862,4.6985,6.41592,0.0409173,0.0584488,0.186814,0.0761984,0.0163498,0.0118465,0.284231,2.12813,0.000252943,3.46485
5,1.53254,1.5534,7.03703,0.0855607,0.0882237,0.0897072,7.66537,0.0014298,0.276838,0.297695,5.50121,0.0830524,0.0486678,0.0501513,0.751531,0.000685352,, , 0.175775,0.307138,0.0916197,6.2831,1.66101,5.50121,0.0830524,0.116473,0.0688076,0.024022,0.00598936,0.017688,0.0855392,0.751531,0.000685352,6.90454
6,2.44634,2.49037,8.43946,0.159692,0.151243,0.154387,15.3127,0.00053884,0.449616,0.493644,5.50209,0.154675,0.0972343,0.100378,1.4853,0.000420651,, , 0.352741,0.409594,0.180924,11.9572,2.76803,5.50209,0.154675,0.232886,0.138907,0.0467762,0.011929,0.0313899,0.125166,1.4853,0.000420651,13.8055
7,0.470142,0.471284,9.57543,0.35624,0.0298068,0.0301543,49.3592,0.000277198,0.385904,0.387046,0.0129387,0.339154,0.0164811,0.0168286,0.196433,5.99732e-05,, , 0.0101676,0.757676,0.00510665,12.0326,0.287717,0.0129387,0.339154,0.827824,0.0138043,0.0183357,0.00116966,0.107445,0.0520212,0.196433,5.99732e-05,49.0734
8,0.0286139,0.0287504,0.0181166,0.001044,0.0005394,0.000545209,0.0602509,3.79135e-07,0.00197792,0.00211442,0.00214574,0.00102314,8.75468e-05,9.33557e-05,0.000231772,1.13968e-07,, , 0.00125863,0.00218914,0.000644581,0.0803593,0.0212412,0.00214574,0.00102314,0.00101147,7.36291e-05,8.89254e-05,1.83479e-05,0.000321226,0.00074128,0.000231772,1.13968e-07,0.0599602
Total,37.9513,30.1954,53.272,0.67818,1.29736,1.23862,84.4367,0.00517836,6.91364,7.00318,34.7002,0.651346,0.563598,0.559302,8.39291,0.00158362,, , 1.84566,11.0806,0.990543,66.3248,24.21,34.7002,0.651346,1.2825,0.719025,0.339823,0.0640519,0.186405,1.4432,8.39291,0.00158362,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11992,0.00819022,1.51045,19.3773,0.020297,3.7432
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


