Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96137,0,1.81752,0.00102029,0.0727695,0,0.111504,6.7346e-06,0.11592,0,1.23285,0.00101325,0.0183236,0,0.0876581,6.6451e-06,, , 0.0678177,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00101325,0.000987789,0.0134909,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.6451e-06,0.0585562
2,15.1245,15.182,11.3421,0.0108081,0.500359,0.504125,3.47522,0.000571176,3.68381,3.74132,9.61553,0.0104946,0.174533,0.178299,2.60678,3.52368e-05,, , 0.532518,6.59864,0.293982,15.1163,9.97854,9.61553,0.0104946,0.0155217,0.204732,0.129148,0.018952,0.00853657,0.640836,2.60678,3.52368e-05,0.920125
3,4.20558,4.23068,7.27565,0.0205767,0.174069,0.175506,2.86639,0.000856718,0.891392,0.916497,6.41748,0.0199497,0.0704264,0.0718637,1.13685,0.000105243,, , 0.230085,1.44982,0.127988,5.23262,3.22804,6.41748,0.0199497,0.0293457,0.0922232,0.0417726,0.00829432,0.00755516,0.204585,1.13685,0.000105243,1.73961
4,6.18154,6.23821,7.7667,0.0432819,0.279992,0.283844,5.58614,0.000470671,1.10755,1.16422,6.41588,0.0420278,0.137482,0.141334,2.12812,0.000110281,, , 0.474034,1.54823,0.249511,8.74862,4.6985,6.41588,0.0420278,0.0584488,0.186272,0.0761984,0.016346,0.0118465,0.284231,2.12812,0.000110281,3.46485
5,1.53133,1.55219,7.03754,0.0792639,0.0880543,0.0894122,7.67425,0.000548177,0.275627,0.296483,5.50171,0.0767556,0.0484983,0.0498562,0.760414,0.000244541,, , 0.173352,0.307138,0.0916197,6.2831,1.66101,5.50171,0.0767556,0.116473,0.0683172,0.024022,0.00601534,0.017688,0.0855392,0.760414,0.000244541,6.90454
6,2.44595,2.48998,8.43978,0.149937,0.150841,0.153828,15.3304,0.000284412,0.449219,0.493247,5.50241,0.14492,0.0968323,0.0998194,1.50306,0.000166223,, , 0.351947,0.409594,0.180924,11.9572,2.76803,5.50241,0.14492,0.232886,0.137914,0.0467762,0.0119614,0.0313899,0.125166,1.50306,0.000166223,13.8055
7,0.470119,0.471261,9.57551,0.294644,0.0298386,0.0301679,49.3627,0.000255534,0.385882,0.387024,0.0130125,0.277558,0.0165129,0.0168422,0.199939,3.83093e-05,, , 0.0101224,0.757676,0.00510665,12.0326,0.287717,0.0130125,0.277558,0.827824,0.013846,0.0183357,0.00117344,0.107445,0.0520212,0.199939,3.83093e-05,49.0734
8,0.0286193,0.0287558,0.0180875,0.00109882,0.000539386,0.000545307,0.0602488,3.8936e-07,0.00198329,0.0021198,0.00211664,0.00107797,8.7533e-05,9.34543e-05,0.000229629,1.24194e-07,, , 0.00126938,0.00218914,0.000644581,0.0803593,0.0212412,0.00211664,0.00107797,0.00101147,7.37372e-05,8.89254e-05,1.83247e-05,0.000321226,0.00074128,0.000229629,1.24194e-07,0.0599602
Total,37.949,30.1931,53.2728,0.600631,1.29646,1.23743,84.4669,0.00299381,6.91139,7.00091,34.701,0.573797,0.562696,0.558108,8.42306,0.000706604,, , 1.84115,11.0806,0.990543,66.3248,24.21,34.701,0.573797,1.2825,0.716869,0.339823,0.0641122,0.186405,1.4432,8.42306,0.000706604,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11929,0.00819567,1.51146,19.3221,0.0203305,3.74939
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96137,0,1.81752,0.00101404,0.0727713,0,0.111504,6.44913e-06,0.115925,0,1.23285,0.001007,0.0183254,0,0.0876581,6.35964e-06,, , 0.0678225,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.001007,0.000987789,0.0134926,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.35964e-06,0.0585562
