Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96134,0,1.81752,0.00102654,0.0727635,0,0.111504,6.11152e-06,0.115889,0,1.23285,0.0010195,0.0183176,0,0.0876581,6.02203e-06,, , 0.0677869,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134849,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.02203e-06,0.0585562
2,15.1235,15.181,11.3421,0.010888,0.499912,0.50367,3.47522,0.000732515,3.68278,3.74029,9.61555,0.0105745,0.174086,0.177845,2.60678,4.53205e-05,, , 0.530457,6.59864,0.293982,15.1163,9.97854,9.61555,0.0105745,0.0155217,0.20383,0.129148,0.0189537,0.00853657,0.640836,2.60678,4.53205e-05,0.920125
3,4.20608,4.23118,7.27539,0.0215862,0.17395,0.175452,2.85432,0.00164578,0.891894,0.916998,6.41722,0.0209592,0.0703076,0.0718097,1.12479,0.000203876,, , 0.231088,1.44982,0.127988,5.23262,3.22804,6.41722,0.0209592,0.0293457,0.0920639,0.0417726,0.00828092,0.00755516,0.204585,1.12479,0.000203876,1.73961
4,6.18065,6.23732,7.76678,0.0409321,0.279052,0.282864,5.61027,0.00061983,1.10665,1.16333,6.41596,0.039678,0.136542,0.140354,2.15226,0.000147571,, , 0.472245,1.54823,0.249511,8.74862,4.6985,6.41596,0.039678,0.0584488,0.184344,0.0761984,0.0163541,0.0118465,0.284231,2.15226,0.000147571,3.46485
5,1.53098,1.55184,7.0377,0.0767493,0.0879752,0.0892917,7.68312,0.000319886,0.275279,0.296136,5.50188,0.074241,0.0484192,0.0497357,0.769287,0.000130396,, , 0.172657,0.307138,0.0916197,6.2831,1.66101,5.50188,0.074241,0.116473,0.068109,0.024022,0.0060239,0.017688,0.0855392,0.769287,0.000130396,6.90454
6,2.44567,2.4897,8.43992,0.164,0.150705,0.153619,15.3305,0.000906493,0.448944,0.492972,5.50255,0.158982,0.0966957,0.0996098,1.50307,0.000788304,, , 0.351397,0.409594,0.180924,11.9572,2.76803,5.50255,0.158982,0.232886,0.137553,0.0467762,0.0119765,0.0313899,0.125166,1.50307,0.000788304,13.8055
7,0.470148,0.47129,9.57547,0.286548,0.0297806,0.0301183,49.3609,0.000253939,0.38591,0.387052,0.0129785,0.269462,0.0164549,0.0167926,0.198186,3.67148e-05,, , 0.010179,0.757676,0.00510665,12.0326,0.287717,0.0129785,0.269462,0.827824,0.0137401,0.0183357,0.0011717,0.107445,0.0520212,0.198186,3.67148e-05,49.0734
8,0.0286143,0.0287508,0.018054,0.000912392,0.000539279,0.00054533,0.0602466,3.67306e-07,0.00197825,0.00211475,0.00208315,0.000891537,8.74259e-05,9.34765e-05,0.000227484,1.0214e-07,, , 0.00125929,0.00218914,0.000644581,0.0803593,0.0212412,0.00208315,0.000891537,0.00101147,7.3679e-05,8.89254e-05,1.82979e-05,0.000321226,0.00074128,0.000227484,1.0214e-07,0.0599602
Total,37.947,30.1911,53.2729,0.602642,1.29468,1.23556,84.4861,0.00448492,6.90933,6.99889,34.7011,0.575809,0.560911,0.55624,8.44225,0.00135831,, , 1.83707,11.0806,0.990543,66.3248,24.21,34.7011,0.575809,1.2825,0.713198,0.339823,0.0641304,0.186405,1.4432,8.44225,0.00135831,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11887,0.00819581,1.51148,19.2894,0.0203314,3.74954
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96138,0,1.81752,0.00102029,0.0727725,0,0.111504,6.73748e-06,0.115933,0,1.23285,0.00101325,0.0183265,0,0.0876581,6.64799e-06,, , 0.0678303,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00101325,0.000987789,0.0134938,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.64799e-06,0.0585562
2,15.1235,15.181,11.3421,0.010813,0.500105,0.503834,3.47523,0.000626989,3.68279,3.7403,9.61561,0.0104995,0.174279,0.178008,2.60678,3.87252e-05,, , 0.530476,6.59864,0.293982,15.1163,9.97854,9.61561,0.0104995,0.0155217,0.20418,0.129148,0.0189596,0.00853657,0.640836,2.60678,3.87252e-05,0.920125
3,4.2066,4.23171,7.27519,0.0198523,0.174039,0.17559,2.85432,0.000483791,0.892417,0.917522,6.41702,0.0192252,0.0703968,0.0719479,1.12478,5.86271e-05,, , 0.232135,1.44982,0.127988,5.23262,3.22804,6.41702,0.0192252,0.0293457,0.0923013,0.0417726,0.00827079,0.00755516,0.204585,1.12478,5.86271e-05,1.73961
4,6.18109,6.23777,7.76669,0.042229,0.279304,0.283157,5.58614,0.00131567,1.1071,1.16378,6.41588,0.0409749,0.136794,0.140647,2.12812,0.00032153,, , 0.473142,1.54823,0.249511,8.74862,4.6985,6.41588,0.0409749,0.0584488,0.184897,0.0761984,0.0163457,0.0118465,0.284231,2.12812,0.00032153,3.46485
5,1.53019,1.55105,7.03783,0.075662,0.0879633,0.0892478,7.68313,0.000335147,0.27449,0.295347,5.50201,0.0731537,0.0484074,0.0496919,0.76929,0.000138026,, , 0.171079,0.307138,0.0916197,6.2831,1.66101,5.50201,0.0731537,0.116473,0.0680467,0.024022,0.00603052,0.017688,0.0855392,0.76929,0.000138026,6.90454
6,2.4454,2.48943,8.43972,0.139815,0.150888,0.153905,15.3304,0.000225574,0.448669,0.492697,5.50235,0.134798,0.0968795,0.0998958,1.50306,0.000107385,, , 0.350847,0.409594,0.180924,11.9572,2.76803,5.50235,0.134798,0.232886,0.138044,0.0467762,0.0119554,0.0313899,0.125166,1.50306,0.000107385,13.8055
7,0.470147,0.471289,9.57548,0.319096,0.0298119,0.0301489,49.3609,0.000264786,0.385909,0.387051,0.0129812,0.30201,0.0164862,0.0168232,0.198186,4.75614e-05,, , 0.0101767,0.757676,0.00510665,12.0326,0.287717,0.0129812,0.30201,0.827824,0.0138019,0.0183357,0.00117184,0.107445,0.0520212,0.198186,4.75614e-05,49.0734
