Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96135,0,1.81752,0.00103904,0.0727654,0,0.111504,8.16718e-06,0.115899,0,1.23285,0.001032,0.0183195,0,0.0876581,8.07769e-06,, , 0.0677971,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.001032,0.000987789,0.0134868,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,8.07769e-06,0.0585562
2,15.1239,15.1814,11.3422,0.0109174,0.500521,0.504236,3.50291,0.00232633,3.68317,3.74068,9.61563,0.0106039,0.174696,0.178411,2.63446,0.000144934,, , 0.531231,6.59864,0.293982,15.1163,9.97854,9.61563,0.0106039,0.0155217,0.204996,0.129148,0.0189626,0.00853657,0.640836,2.63446,0.000144934,0.920125
3,4.2058,4.23091,7.27532,0.0204933,0.174023,0.175543,2.85432,0.000746008,0.891616,0.916721,6.41715,0.0198662,0.0703804,0.0719004,1.12479,9.14043e-05,, , 0.230532,1.44982,0.127988,5.23262,3.22804,6.41715,0.0198662,0.0293457,0.0922311,0.0417726,0.00827721,0.00755516,0.204585,1.12479,9.14043e-05,1.73961
4,6.18093,6.23761,7.76646,0.0392571,0.279567,0.283537,5.58612,0.000283711,1.10694,1.16362,6.41564,0.038003,0.137057,0.141027,2.12811,6.35411e-05,, , 0.47282,1.54823,0.249511,8.74862,4.6985,6.41564,0.038003,0.0584488,0.185564,0.0761984,0.0163214,0.0118465,0.284231,2.12811,6.35411e-05,3.46485
5,1.53138,1.55223,7.03742,0.0759587,0.0880952,0.0894821,7.67425,0.000352877,0.275673,0.296529,5.5016,0.0734504,0.0485393,0.0499261,0.760411,0.000146891,, , 0.173445,0.307138,0.0916197,6.2831,1.66101,5.5016,0.0734504,0.116473,0.068434,0.024022,0.00600935,0.017688,0.0855392,0.760411,0.000146891,6.90454
6,2.44748,2.49151,8.43941,0.165052,0.15121,0.154377,15.3127,0.000906156,0.450754,0.494782,5.50204,0.160035,0.0972008,0.100368,1.4853,0.000787967,, , 0.355017,0.409594,0.180924,11.9572,2.76803,5.50204,0.160035,0.232886,0.138869,0.0467762,0.0119242,0.0313899,0.125166,1.4853,0.000787967,13.8055
7,0.470103,0.471245,9.57547,0.2656,0.0297535,0.0300931,49.3609,0.000249122,0.385865,0.387007,0.0129711,0.248514,0.0164278,0.0167673,0.198186,3.18979e-05,, , 0.010089,0.757676,0.00510665,12.0326,0.287717,0.0129711,0.248514,0.827824,0.0136882,0.0183357,0.00117132,0.107445,0.0520212,0.198186,3.18979e-05,49.0734
8,0.0286213,0.0287578,0.0180381,0.000691667,0.000539223,0.000545335,0.0602466,3.3884e-07,0.00198531,0.00212181,0.00206722,0.000670812,8.73701e-05,9.34822e-05,0.000227483,7.36738e-08,, , 0.00127341,0.00218914,0.000644581,0.0803593,0.0212412,0.00206722,0.000670812,0.00101147,7.36417e-05,8.89254e-05,1.82852e-05,0.000321226,0.00074128,0.000227483,7.36738e-08,0.0599602
Total,37.9496,30.1937,53.2718,0.579009,1.29647,1.23781,84.4629,0.00487271,6.91191,7.00145,34.6999,0.552175,0.562708,0.558493,8.41914,0.00127479,, , 1.8422,11.0806,0.990543,66.3248,24.21,34.6999,0.552175,1.2825,0.717342,0.339823,0.0640356,0.186405,1.4432,8.41914,0.00127479,76.0265

