Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96135,0,1.81752,0.00100154,0.0727661,0,0.111504,3.65449e-06,0.115902,0,1.23285,0.000994499,0.0183202,0,0.0876581,3.565e-06,, , 0.0677995,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.000994499,0.000987789,0.0134875,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,3.565e-06,0.0585562
2,15.1237,15.1812,11.3421,0.0102765,0.500396,0.504115,3.47523,0.00054604,3.68302,3.74052,9.61563,0.00996297,0.17457,0.178289,2.60678,3.36658e-05,, , 0.530925,6.59864,0.293982,15.1163,9.97854,9.61563,0.00996297,0.0155217,0.20475,0.129148,0.0189618,0.00853657,0.640836,2.60678,3.36658e-05,0.920125
3,4.2057,4.23081,7.2755,0.0214276,0.174035,0.17551,2.86638,0.000370699,0.891515,0.916619,6.41733,0.0208006,0.0703923,0.0718675,1.13685,4.44906e-05,, , 0.23033,1.44982,0.127988,5.23262,3.22804,6.41733,0.0208006,0.0293457,0.0922007,0.0417726,0.00828648,0.00755516,0.204585,1.13685,4.44906e-05,1.73961
4,6.18156,6.23823,7.76668,0.0431985,0.279502,0.283362,5.58614,0.00100026,1.10757,1.16424,6.41586,0.0419444,0.136992,0.140852,2.12812,0.000242679,, , 0.474069,1.54823,0.249511,8.74862,4.6985,6.41586,0.0419444,0.0584488,0.185301,0.0761984,0.0163441,0.0118465,0.284231,2.12812,0.000242679,3.46485
5,1.53087,1.55173,7.03751,0.0856215,0.0880286,0.0893917,7.67425,0.00088347,0.275171,0.296028,5.50169,0.0831132,0.0484727,0.0498358,0.760414,0.000412188,, , 0.172441,0.307138,0.0916197,6.2831,1.66101,5.50169,0.0831132,0.116473,0.0682722,0.024022,0.00601426,0.017688,0.0855392,0.760414,0.000412188,6.90454
6,2.44627,2.4903,8.43959,0.16918,0.151005,0.154085,15.3127,0.00119116,0.449545,0.493573,5.50222,0.164163,0.0969957,0.100076,1.48531,0.00107297,, , 0.352599,0.409594,0.180924,11.9572,2.76803,5.50222,0.164163,0.232886,0.138354,0.0467762,0.0119421,0.0313899,0.125166,1.48531,0.00107297,13.8055
7,0.470058,0.4712,9.5755,0.386733,0.0297406,0.030073,49.3627,0.000301683,0.38582,0.386962,0.0130001,0.369647,0.0164149,0.0167472,0.199938,8.44586e-05,, , 0.00999892,0.757676,0.00510665,12.0326,0.287717,0.0130001,0.369647,0.827824,0.0136537,0.0183357,0.0011728,0.107445,0.0520212,0.199938,8.44586e-05,49.0734
8,0.028617,0.0287536,0.0180689,0.00113939,0.000539318,0.000545311,0.0602488,3.95622e-07,0.00198103,0.00211754,0.00209797,0.00111854,8.74649e-05,9.34583e-05,0.000229627,1.30455e-07,, , 0.00126485,0.00218914,0.000644581,0.0803593,0.0212412,0.00209797,0.00111854,0.00101147,7.36881e-05,8.89254e-05,1.83098e-05,0.000321226,0.00074128,0.000229627,1.30455e-07,0.0599602
Total,37.9482,30.1923,53.2725,0.718577,1.29601,1.23708,84.4491,0.00429736,6.91052,7.00006,34.7007,0.691743,0.562245,0.557761,8.40531,0.00189415,, , 1.83943,11.0806,0.990543,66.3248,24.21,34.7007,0.691743,1.2825,0.716092,0.339823,0.0640912,0.186405,1.4432,8.40531,0.00189415,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11971,0.00818789,1.51002,19.3573,0.0202827,3.74057
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96137,0,1.81752,0.00106404,0.0727698,0,0.111504,8.24902e-06,0.115919,0,1.23285,0.001057,0.0183239,0,0.0876581,8.15953e-06,, , 0.0678162,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.001057,0.000987789,0.0134912,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,8.15953e-06,0.0585562
2,15.1236,15.1811,11.342,0.0103667,0.499977,0.503747,3.47522,0.00110372,3.68289,3.7404,9.61552,0.0100532,0.174152,0.177922,2.60678,6.8521e-05,, , 0.530673,6.59864,0.293982,15.1163,9.97854,9.61552,0.0100532,0.0155217,0.203974,0.129148,0.0189512,0.00853657,0.640836,2.60678,6.8521e-05,0.920125
3,4.20612,4.23123,7.27548,0.0215654,0.173961,0.175441,2.86638,0.000801469,0.891934,0.917039,6.41731,0.0209384,0.0703181,0.071798,1.13685,9.83369e-05,, , 0.231169,1.44982,0.127988,5.23262,3.22804,6.41731,0.0209384,0.0293457,0.092058,0.0417726,0.0082855,0.00755516,0.204585,1.13685,9.83369e-05,1.73961
4,6.18189,6.23857,7.76666,0.0415017,0.279082,0.282951,5.58614,0.00119522,1.1079,1.16458,6.41584,0.0402476,0.136572,0.14044,2.12812,0.000291418,, , 0.474743,1.54823,0.249511,8.74862,4.6985,6.41584,0.0402476,0.0584488,0.184471,0.0761984,0.0163424,0.0118465,0.284231,2.12812,0.000291418,3.46485
5,1.53104,1.55189,7.03752,0.0776681,0.0880676,0.0894302,7.67425,0.000625408,0.275332,0.296189,5.50169,0.0751598,0.0485116,0.0498742,0.760414,0.000283157,, , 0.172763,0.307138,0.0916197,6.2831,1.66101,5.50169,0.0751598,0.116473,0.0683495,0.024022,0.00601436,0.017688,0.0855392,0.760414,0.000283157,6.90454
