Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96135,0,1.81752,0.00102654,0.0727654,0,0.111504,7.13166e-06,0.115898,0,1.23285,0.0010195,0.0183195,0,0.0876581,7.04217e-06,, , 0.067796,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134868,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,7.04217e-06,0.0585562
2,15.1255,15.183,11.342,0.0111168,0.500926,0.504696,3.47522,4.70516e-05,3.68476,3.74226,9.61552,0.0108032,0.175101,0.178871,2.60678,2.47905e-06,, , 0.534398,6.59864,0.293982,15.1163,9.97854,9.61552,0.0108032,0.0155217,0.205872,0.129148,0.0189512,0.00853657,0.640836,2.60678,2.47905e-06,0.920125
3,4.20547,4.23057,7.27564,0.0220663,0.174072,0.175513,2.86639,5.1305e-05,0.891281,0.916386,6.41747,0.0214393,0.0704295,0.0718702,1.13685,4.56642e-06,, , 0.229862,1.44982,0.127988,5.23262,3.22804,6.41747,0.0214393,0.0293457,0.0922335,0.0417726,0.0082936,0.00755516,0.204585,1.13685,4.56642e-06,1.73961
4,6.18237,6.23904,7.76652,0.0433279,0.279846,0.283783,5.58613,0.00159559,1.10838,1.16505,6.4157,0.0420738,0.137335,0.141273,2.12811,0.000391511,, , 0.475691,1.54823,0.249511,8.74862,4.6985,6.4157,0.0420738,0.0584488,0.186082,0.0761984,0.0163281,0.0118465,0.284231,2.12811,0.000391511,3.46485
5,1.53167,1.55252,7.03718,0.0805021,0.0881698,0.0896148,7.66537,0.000712219,0.275963,0.296819,5.50136,0.0779938,0.0486138,0.0500589,0.751535,0.000326562,, , 0.174024,0.307138,0.0916197,6.2831,1.66101,5.50136,0.0779938,0.116473,0.0686533,0.024022,0.00599732,0.017688,0.0855392,0.751535,0.000326562,6.90454
6,2.44744,2.49146,8.43919,0.16379,0.15137,0.15465,15.2949,0.00079047,0.450707,0.494735,5.50181,0.158773,0.0973614,0.100641,1.46754,0.000672281,, , 0.354924,0.409594,0.180924,11.9572,2.76803,5.50181,0.158773,0.232886,0.139325,0.0467762,0.011901,0.0313899,0.125166,1.46754,0.000672281,13.8055
7,0.470109,0.471251,9.57544,0.240981,0.0296885,0.0300353,49.3592,0.00024375,0.385871,0.387013,0.0129416,0.223895,0.0163628,0.0167096,0.196433,2.65254e-05,, , 0.0101016,0.757676,0.00510665,12.0326,0.287717,0.0129416,0.223895,0.827824,0.0135669,0.0183357,0.00116981,0.107445,0.0520212,0.196433,2.65254e-05,49.0734
8,0.0286215,0.028758,0.0180711,0.00093132,0.000539342,0.000545327,0.0602488,3.71174e-07,0.00198545,0.00212195,0.00210017,0.000910464,8.74891e-05,9.3474e-05,0.000229628,1.06008e-07,, , 0.00127369,0.00218914,0.000644581,0.0803593,0.0212412,0.00210017,0.000910464,0.00101147,7.37262e-05,8.89254e-05,1.83115e-05,0.000321226,0.00074128,0.000229628,1.06008e-07,0.0599602
Total,37.9525,30.1966,53.2716,0.563742,1.29738,1.23884,84.4189,0.00344789,6.91484,7.00439,34.6998,0.536908,0.563611,0.559517,8.37514,0.00143107,, , 1.84807,11.0806,0.990543,66.3248,24.21,34.6998,0.536908,1.2825,0.719294,0.339823,0.0640107,0.186405,1.4432,8.37514,0.00143107,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12039,0.00819777,1.51184,19.4134,0.0203434,3.75176
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96137,0,1.81752,0.00102654,0.0727709,0,0.111504,6.46107e-06,0.115924,0,1.23285,0.0010195,0.018325,0,0.0876581,6.37157e-06,, , 0.0678216,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134922,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.37157e-06,0.0585562
2,15.1258,15.1833,11.3419,0.0109905,0.5012,0.505049,3.47521,0.00125369,3.68511,3.74262,9.61536,0.010677,0.175375,0.179224,2.60676,7.78937e-05,, , 0.535113,6.59864,0.293982,15.1163,9.97854,9.61536,0.010677,0.0155217,0.206516,0.129148,0.0189348,0.00853657,0.640836,2.60676,7.78937e-05,0.920125
3,4.20556,4.23066,7.27579,0.0215925,0.174138,0.17554,2.87844,0.00156977,0.891371,0.916476,6.41763,0.0209655,0.070495,0.0718972,1.14891,0.000194374,, , 0.230042,1.44982,0.127988,5.23262,3.22804,6.41763,0.0209655,0.0293457,0.092318,0.0417726,0.00830159,0.00755516,0.204585,1.14891,0.000194374,1.73961
4,6.18222,6.23889,7.76653,0.0408989,0.280209,0.284141,5.58613,0.000663347,1.10823,1.1649,6.41572,0.0396448,0.137699,0.141631,2.12811,0.00015845,, , 0.475394,1.54823,0.249511,8.74862,4.6985,6.41572,0.0396448,0.0584488,0.186802,0.0761984,0.0163293,0.0118465,0.284231,2.12811,0.00015845,3.46485
5,1.5318,1.55266,7.03708,0.0838862,0.0882494,0.0897193,7.66537,0.00128092,0.276101,0.296958,5.50126,0.0813779,0.0486934,0.0501633,0.751533,0.000610913,, , 0.174301,0.307138,0.0916197,6.2831,1.66101,5.50126,0.0813779,0.116473,0.0688426,0.024022,0.00599217,0.017688,0.0855392,0.751533,0.000610913,6.90454
6,2.44763,2.49166,8.43911,0.153752,0.151659,0.154974,15.2949,0.000332918,0.450902,0.49493,5.50174,0.148735,0.0976503,0.100966,1.46753,0.000214729,, , 0.355313,0.409594,0.180924,11.9572,2.76803,5.50174,0.148735,0.232886,0.139946,0.0467762,0.0118936,0.0313899,0.125166,1.46753,0.000214729,13.8055
7,0.470171,0.471313,9.57544,0.248742,0.0297451,0.0300909,49.3592,0.00024495,0.385933,0.387075,0.0129459,0.231656,0.0164194,0.0167651,0.196433,2.77251e-05,, , 0.0102246,0.757676,0.00510665,12.0326,0.287717,0.0129459,0.231656,0.827824,0.0136788,0.0183357,0.00117003,0.107445,0.0520212,0.196433,2.77251e-05,49.0734
8,0.0286136,0.0287501,0.0180656,0.00101121,0.000539298,0.000545304,0.0602466,3.68284e-07,0.00197756,0.00211406,0.00209468,0.000990357,8.74451e-05,9.34512e-05,0.000227485,1.03117e-07,, , 0.0012579,0.00218914,0.000644581,0.0803593,0.0212412,0.00209468,0.000990357,0.00101147,7.36638e-05,8.89254e-05,1.83072e-05,0.000321226,0.00074128,0.000227485,1.03117e-07,0.0599602
Total,37.9532,30.1973,53.2714,0.5619,1.29851,1.24006,84.431,0.00535242,6.91555,7.00507,34.6996,0.535066,0.564744,0.560739,8.38718,0.00129056,, , 1.84947,11.0806,0.990543,66.3248,24.21,34.6996,0.535066,1.2825,0.721669,0.339823,0.0639911,0.186405,1.4432,8.38718,0.00129056,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11999,0.00819781,1.51185,19.3843,0.0203437,3.75181
