Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96134,0,1.81752,0.00102654,0.0727647,0,0.111504,5.77153e-06,0.115895,0,1.23285,0.0010195,0.0183188,0,0.0876581,5.68204e-06,, , 0.0677931,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134861,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,5.68204e-06,0.0585562
2,15.1238,15.1813,11.3421,0.0107624,0.500396,0.504147,3.47523,0.00143903,3.6831,3.74061,9.61556,0.0104489,0.17457,0.178321,2.60678,8.94775e-05,, , 0.531093,6.59864,0.293982,15.1163,9.97854,9.61556,0.0104489,0.0155217,0.204788,0.129148,0.0189551,0.00853657,0.640836,2.60678,8.94775e-05,0.920125
3,4.20627,4.23137,7.27509,0.0215667,0.174007,0.175582,2.85431,0.00146392,0.89208,0.917185,6.41693,0.0209397,0.070364,0.071939,1.12478,0.000181144,, , 0.231461,1.44982,0.127988,5.23262,3.22804,6.41693,0.0209397,0.0293457,0.0922647,0.0417726,0.00826583,0.00755516,0.204585,1.12478,0.000181144,1.73961
4,6.17977,6.23644,7.76673,0.0430344,0.279152,0.282985,5.58614,0.000788238,1.10577,1.16245,6.41592,0.0417803,0.136642,0.140475,2.12813,0.000189673,, , 0.470486,1.54823,0.249511,8.74862,4.6985,6.41592,0.0417803,0.0584488,0.184569,0.0761984,0.0163498,0.0118465,0.284231,2.12813,0.000189673,3.46485
5,1.5311,1.55195,7.03753,0.0754656,0.0880301,0.0893894,7.67425,0.000302082,0.275394,0.296251,5.50171,0.0729573,0.0484742,0.0498334,0.760414,0.000121494,, , 0.172887,0.307138,0.0916197,6.2831,1.66101,5.50171,0.0729573,0.116473,0.0682705,0.024022,0.00601506,0.017688,0.0855392,0.760414,0.000121494,6.90454
6,2.44609,2.49012,8.43965,0.143491,0.150906,0.153959,15.3127,0.000227691,0.449365,0.493393,5.50227,0.138474,0.0968973,0.0999497,1.48531,0.000109502,, , 0.352239,0.409594,0.180924,11.9572,2.76803,5.50227,0.138474,0.232886,0.138123,0.0467762,0.0119479,0.0313899,0.125166,1.48531,0.000109502,13.8055
7,0.470128,0.47127,9.5755,0.312353,0.0298169,0.0301473,49.3627,0.000261913,0.38589,0.387032,0.0130081,0.295267,0.0164912,0.0168216,0.199939,4.46887e-05,, , 0.0101394,0.757676,0.00510665,12.0326,0.287717,0.0130081,0.295267,0.827824,0.0138039,0.0183357,0.00117321,0.107445,0.0520212,0.199939,4.46887e-05,49.0734
8,0.0286183,0.0287548,0.0180546,0.00111129,0.000539288,0.000545337,0.0602466,3.92618e-07,0.00198231,0.00211881,0.0020837,0.00109044,8.74349e-05,9.34834e-05,0.000227484,1.27451e-07,, , 0.00126741,0.00218914,0.000644581,0.0803593,0.0212412,0.0020837,0.00109044,0.00101147,7.36945e-05,8.89254e-05,1.82984e-05,0.000321226,0.00074128,0.000227484,1.27451e-07,0.0599602
Total,37.9471,30.1912,53.2722,0.608811,1.29561,1.23675,84.437,0.00448904,6.90948,6.99904,34.7003,0.581977,0.561845,0.557434,8.39324,0.000741788,, , 1.83737,11.0806,0.990543,66.3248,24.21,34.7003,0.581977,1.2825,0.715379,0.339823,0.0640765,0.186405,1.4432,8.39324,0.000741788,76.0265

